"last_name, first_name","player_id","year","player_age","ab","pa","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Pujols, Albert",405395,2021,41,275,296,17,45,14,15.2,4.7,".236",".433",".284","0.717",".256",".460",".322",".302",".204",,,,,,,,,,,,,"90.3","12",29.3,9.1,39.7,"100.714355517","94.638800431",21.7,47.1
"Cabrera, Miguel",408234,2021,38,472,526,15,118,40,22.4,7.6,".256",".386",".316","0.702",".234",".420",".315",".301",".186",,,,,,,,,,,,,"91.4","10",32.8,8.3,49,"101.953387486","95.613068408",25.8,49.4
"Molina, Yadier",425877,2021,38,440,473,11,79,24,16.7,5.1,".252",".370",".297","0.667",".255",".406",".306",".300",".151",,,,,,,,,,,,,"88","15.3",34.1,5.2,31.6,"97.653775275","92.936144353",24,57.1
"Suzuki, Kurt",435559,2021,37,219,247,6,44,12,17.8,4.9,".224",".342",".294","0.636",".204",".310",".264",".278",".105",,,,,,,,,,,,,"85.2","14.6",28.9,3.9,27.2,"95.984336023","91.998129261",21.7,49
"Cruz, Nelson",443558,2021,40,513,584,32,126,51,21.6,8.7,".265",".497",".334","0.831",".264",".512",".363",".341",".248",,,,,,,,,,,,,"92.9","11.8",31.8,13.6,52.5,"105.497885455","97.364589369",30.7,51
"Peralta, David",444482,2021,33,487,538,8,92,46,17.1,8.6,".259",".402",".325","0.727",".243",".345",".293",".313",".103",,,,,,,,,,,,,"89.3","5.3",27.2,5,41.8,"101.204662576","94.748489747",21.3,46.5
"Piña, Manny",444489,2021,34,180,208,13,38,22,18.3,10.6,".189",".439",".293","0.732",".219",".441",".331",".320",".222",,,,,,,,,,,,,"86.5","18.8",32.2,10.5,32.2,"97.71228493","92.909556338",23.8,42.9
"Escobar, Alcides",444876,2021,34,319,349,4,56,17,16,4.9,".288",".404",".340","0.744",".271",".362",".309",".325",".091",,,,,,,,,,,,,"81.7","11.1",36.3,3,21,"93.737835538","91.096947761",21.9,52.1
"Longoria, Evan",446334,2021,35,253,291,13,68,35,23.4,12,".261",".482",".351","0.833",".253",".486",".351",".344",".234",,,,,,,,,,,,,"94.1","15.5",34.2,13.4,54.5,"102.080352447","96.205606417",25.1,42.4
"Cabrera, Asdrúbal",452678,2021,35,309,352,7,80,36,22.7,10.2,".230",".366",".313","0.679",".214",".331",".286",".302",".117",,,,,,,,,,,,,"87.8","14.5",30,6,30.9,"97.083983103","92.69338342",25.3,48.3
"Blackmon, Charlie",453568,2021,34,514,582,13,91,54,15.6,9.3,".270",".411",".351","0.762",".291",".450",".359",".369",".160",,,,,,,,,,,,,"87.6","10.2",32.6,7,38.5,"99.359821596","93.750499272",20.2,47.3
"Maldonado, Martín",455117,2021,34,373,426,12,127,47,29.8,11,".172",".300",".272","0.572",".183",".312",".267",".282",".129",,,,,,,,,,,,,"88","17.6",30.8,5.7,33.2,"97.340165902","92.740188648",28.9,42.8
"Cain, Lorenzo",456715,2021,35,257,286,8,48,26,16.8,9.1,".257",".401",".329","0.730",".254",".382",".317",".327",".128",,,,,,,,,,,,,"88.4","7.2",29,4.3,37.6,"99.209885333","93.717624115",21.9,44.6
"Solano, Donovan",456781,2021,33,307,344,7,58,25,16.9,7.3,".280",".404",".344","0.748",".275",".432",".335",".340",".158",,,,,,,,,,,,,"88.3","11",39.8,7.5,36.6,"98.208590709","93.239344229",20.3,49.7
"McCutchen, Andrew",457705,2021,34,482,574,27,132,81,23,14.1,".222",".444",".334","0.778",".235",".426",".340",".348",".191",,,,,,,,,,,,,"88.8","14.6",33.6,9,39.5,"99.449259775","93.945349747",25.9,41.7
"Upton, Justin",457708,2021,33,318,362,17,107,39,29.6,10.8,".211",".409",".296","0.705",".226",".429",".322",".311",".203",,,,,,,,,,,,,"90.1","15.2",30.4,11.7,41.6,"101.71394434","95.160523679",31.4,45.1
"Turner, Justin",457759,2021,36,533,612,27,98,61,16,10,".278",".471",".361","0.832",".270",".470",".359",".358",".199",,,,,,,,,,,,,"90.9","19.2",36.5,7.9,42.4,"99.559758318","94.25153575",17.7,44.5
"Posey, Buster",457763,2021,34,395,454,18,87,56,19.2,12.3,".304",".499",".390","0.889",".281",".469",".361",".370",".188",,,,,,,,,,,,,"88.5","8.7",38.4,8.1,39.4,"98.703017161","93.540916742",23.9,44.6
"Votto, Joey",458015,2021,37,448,533,36,127,77,23.8,14.4,".266",".563",".375","0.938",".274",".592",".406",".383",".318",,,,,,,,,,,,,"92.9","18.2",44.3,17.2,53.2,"102.539441104","96.093851969",29.4,43.9
"Gardner, Brett",458731,2021,37,387,461,10,100,60,21.7,13,".222",".362",".327","0.689",".219",".322",".296",".326",".103",,,,,,,,,,,,,"86.7","12.5",29.2,3.4,33.2,"97.795042847","92.940441986",18.4,37.5
"Andrus, Elvis",462101,2021,32,497,541,3,81,31,15,5.7,".243",".320",".294","0.614",".273",".375",".308",".324",".102",,,,,,,,,,,,,"87.8","8.1",34,2.1,34.8,"98.143821256","93.154317918",19.6,48.9
"Santana, Carlos",467793,2021,35,565,659,19,102,86,15.5,13.1,".214",".342",".319","0.661",".244",".421",".335",".345",".177",,,,,,,,,,,,,"89.9","12.9",28,6.8,41.9,"100.529242479","94.571698094",22.3,43.4
"Belt, Brandon",474832,2021,33,325,381,29,103,48,27,12.6,".274",".597",".378","0.975",".243",".525",".374",".354",".282",,,,,,,,,,,,,"89.2","23",35.9,17,44.8,"101.188143333","94.847397963",28.3,47.5
"Zimmerman, Ryan",475582,2021,36,255,273,14,77,16,28.2,5.9,".243",".471",".286","0.757",".232",".418",".300",".277",".186",,,,,,,,,,,,,"91.3","7.4",32.2,10.6,47.8,"102.490607667","95.871579889",29,45.7
"Lowrie, Jed",476704,2021,37,457,512,14,108,49,21.1,9.6,".245",".398",".318","0.716",".259",".464",".343",".332",".206",,,,,,,,,,,,,"90.7","16.4",36.5,9.3,45.9,"100.200115198","94.60925779",24.2,46.7
"Brantley, Michael",488726,2021,34,469,508,8,53,33,10.4,6.5,".311",".437",".362","0.799",".312",".466",".361",".365",".154",,,,,,,,,,,,,"89.5","9.9",38.8,5.8,42.9,"99.686219375","94.187918365",10.9,45.6
